year,amount
1988,436326000
1989,478659000
1990,529406000
1991,574212000
1992,667691000
1993,748547000
1994,842826000
1995,977586000
1996,1082349000
1997,1221679000
1998,1351563000
1999,1443910000
2000,1507745000
2001,1498229000
2002,1534939000
2003,1560757000
2004,1687917000
2005,1801800000
2006,1956227000
2007,2067203000
2008,2197511000
2009,2321539000
2010,2387088000
2011,2459009000
2012,2467498000
2013,2425468000
2014,2444183000
2015,2431376000
2016,2390893000
2017,2380301000
