title,netflix,prime,hulu,kanopy,apple_tv,google_play,hbo,youtube,pbs
Loving,✓,$,,,$,$,,$,
Harriet,,$$,,,$$,$$,✓,$$,
Fruitvale Station,✓,$,,,$,$,,$,
Strong Island,✓,,,,,,,,
13 Years a Slave,,$,✓,,$,$,,$,
Amistad,,$,,,,,✓,$,
American Violet,,$,,,$,$,,$,
Marshall,,$,,,$,$,,$,
Quest,,,,✓,$,$,,,
Amazing Grace,,$,✓,,$,$,,$,
African Americans: Many Rivers to Cross,,✓,,,,,,,✓
The Butler,✓,$,,,$,$,,$,
If Beale Street Could Talk,,$,✓,,$,$,,$,
Whose Streets,✓,$,,✓,$,$,,$,
I Am Not Your Negro,✓,✓,✓,✓,$,$,,$,
Invictus,,$,,,$,$,,$,
Immortal Life of Henrietta Lacks,,$,,,$,$,✓,$,
"Hale County This Morning, This Evening",,✓,,,$,$,,$,
Blindspotting,,$,,,$,$,,$,
Dear White People,✓,$$,,,$$,$$,,,
Jojo Rabbit,,$$,,,$$,$$,✓,$$,
The Forgiven,,✓,,,$,$,,$,
Tula: The Revolt,,,,,,,,,
The Hate U Give,,$,,,$,$,,$,
Black Power Mixtape,,$,,,$,$,,$,✓
Welcome to Leith,,$,,✓,$,$,,$,
The Axe in the Attic,,$,,,,,,,
Stay Woke: The Black Lives Matter Movement,,,,,,,,✓,
Crime + Punishment,,,✓,,,,,,
Always in Season,,$,,,$,$,,$,
Monsters and men,,$,✓,,$,$,,$,
Owned: A Tale of Two Americas,,✓,,✓,$,$,,$,
Malcolm X,,$,,,$,$,✓,$,
Bamboozled ,,$,,,,,,,
Do the Right Thing,,$,,,$,$,,$,
4 Little Girls,,$,,,$,$,✓,$,
King in the Wilderness,,$,,✓,$,$,✓,$,
Wrong Kind of Black,✓,,,,,,,,
